"Omschrijving","Vakcode","Startweek (ISO)","Startdag","Startdatum","Starttijd","Einddag","Einddatum","Eindtijd","Duur","Type","Docent(en)","Locatie(s)","Faculteit","Grootte","Opmerking 1","Opmerking 2","Concept","Deze activiteit vindt op locatie plaats","Deze activiteit vindt online plaats"
"Operating Systems (PR)","X_405067","45","vr","2022-11-11","15:30","vr","2022-11-11","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","ma","2022-11-14","13:30","ma","2022-11-14","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","di","2022-11-15","09:00","di","2022-11-15","10:45","1:45","Practicum","","HG-15A16(39/19T), NU-3A65 (40/20T), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 1","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","46","di","2022-11-15","11:00","di","2022-11-15","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","di","2022-11-15","13:30","di","2022-11-15","15:15","1:45","Practicum","","HG-00B08 (42Comp)","Faculteit der Betawetenschappen","30","Group 2","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","46","di","2022-11-15","15:30","di","2022-11-15","17:15","1:45","Hoorcollege","Dobler, D.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","di","2022-11-15","17:30","di","2022-11-15","19:15","1:45","Practicum","","NU-3A57 (54/27T), NU-3A65 (40/20T)","Faculteit der Betawetenschappen","30","Group 3","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","wo","2022-11-16","09:00","wo","2022-11-16","10:45","1:45","Practicum","","OZW-6B03(40/20T), OZW-6B04(43/21T)","Faculteit der Betawetenschappen","30","Group 4","","Nee","Ja","Nee"
"Statistical Methods (PR)","X_401020","46","wo","2022-11-16","13:30","wo","2022-11-16","15:15","1:45","Practicum","","NU-5B21 (46Comp/46DT)","Faculteit der Betawetenschappen","56","Computer class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","wo","2022-11-16","15:30","wo","2022-11-16","19:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-5A91 (34Comp/34DT), NU-5B21 (46Comp/46DT), NU-6B15 (38Comp/38DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","do","2022-11-17","09:00","do","2022-11-17","10:45","1:45","Practicum","","NU-6B37 (48Comp)","Faculteit der Betawetenschappen","30","Group 5","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","46","do","2022-11-17","11:00","do","2022-11-17","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","do","2022-11-17","13:30","do","2022-11-17","15:15","1:45","Practicum","","HG-13A37 (24Comp), NU-5B51 Collaborative (20)","Faculteit der Betawetenschappen","30","Group 6","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","46","do","2022-11-17","15:30","do","2022-11-17","17:15","1:45","Hoorcollege","Dobler, D.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Statistical Methods (WC)","X_401020","46","vr","2022-11-18","11:00","vr","2022-11-18","12:45","1:45","Werkcollege","","WN-C629(40/20T)","Faculteit der Betawetenschappen","56","Exercise class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","46","vr","2022-11-18","15:30","vr","2022-11-18","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","ma","2022-11-21","13:30","ma","2022-11-21","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Statistical Methods (DX)","X_401020","47","ma","2022-11-21","18:45","ma","2022-11-21","20:30","1:45","Deeltentamen schriftelijk","Dobler, D.","(T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 3 Groen (96), (T) TenT blok 4 Lime (54), (T) TenT blok 5 Wit (45)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","di","2022-11-22","09:00","di","2022-11-22","10:45","1:45","Practicum","","HG-15A16(39/19T), NU-3A65 (40/20T), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 1","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","47","di","2022-11-22","11:00","di","2022-11-22","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","di","2022-11-22","13:30","di","2022-11-22","15:15","1:45","Practicum","","HG-00B08 (42Comp)","Faculteit der Betawetenschappen","30","Group 2","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","di","2022-11-22","17:30","di","2022-11-22","19:15","1:45","Practicum","","NU-3A57 (54/27T), NU-3A65 (40/20T)","Faculteit der Betawetenschappen","30","Group 3","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","wo","2022-11-23","09:00","wo","2022-11-23","10:45","1:45","Practicum","","OZW-6B03(40/20T), OZW-6B04(43/21T)","Faculteit der Betawetenschappen","30","Group 4","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","wo","2022-11-23","15:30","wo","2022-11-23","19:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-5A91 (34Comp/34DT), NU-5B21 (46Comp/46DT), NU-6B15 (38Comp/38DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","do","2022-11-24","09:00","do","2022-11-24","10:45","1:45","Practicum","","NU-6B37 (48Comp)","Faculteit der Betawetenschappen","30","Group 5","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","47","do","2022-11-24","11:00","do","2022-11-24","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","do","2022-11-24","13:30","do","2022-11-24","15:15","1:45","Practicum","","HG-13A37 (24Comp), NU-5B51 Collaborative (20)","Faculteit der Betawetenschappen","30","Group 6","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","47","do","2022-11-24","15:30","do","2022-11-24","17:15","1:45","Hoorcollege","Dobler, D.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","47","vr","2022-11-25","15:30","vr","2022-11-25","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","ma","2022-11-28","13:30","ma","2022-11-28","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","di","2022-11-29","09:00","di","2022-11-29","10:45","1:45","Practicum","","HG-15A16(39/19T), NU-3A65 (40/20T), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 1","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","48","di","2022-11-29","11:00","di","2022-11-29","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","di","2022-11-29","13:30","di","2022-11-29","15:15","1:45","Practicum","","HG-00B08 (42Comp)","Faculteit der Betawetenschappen","30","Group 2","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","48","di","2022-11-29","15:30","di","2022-11-29","17:15","1:45","Hoorcollege","Dobler, D.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","di","2022-11-29","17:30","di","2022-11-29","19:15","1:45","Practicum","","NU-3A57 (54/27T), NU-3A65 (40/20T)","Faculteit der Betawetenschappen","30","Group 3","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","wo","2022-11-30","09:00","wo","2022-11-30","10:45","1:45","Practicum","","OZW-6B03(40/20T), OZW-6B04(43/21T)","Faculteit der Betawetenschappen","30","Group 4","","Nee","Ja","Nee"
"Statistical Methods (WC)","X_401020","48","wo","2022-11-30","13:30","wo","2022-11-30","15:15","1:45","Werkcollege","","NU-5B21 (46Comp/46DT)","Faculteit der Betawetenschappen","56","Exercise class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","wo","2022-11-30","15:30","wo","2022-11-30","19:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-5A91 (34Comp/34DT), NU-5B21 (46Comp/46DT), NU-6B15 (38Comp/38DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","do","2022-12-01","09:00","do","2022-12-01","10:45","1:45","Practicum","","NU-6B37 (48Comp)","Faculteit der Betawetenschappen","30","Group 5","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","48","do","2022-12-01","11:00","do","2022-12-01","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","do","2022-12-01","13:30","do","2022-12-01","15:15","1:45","Practicum","","HG-13A37 (24Comp), NU-5B51 Collaborative (20)","Faculteit der Betawetenschappen","30","Group 6","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","48","do","2022-12-01","15:30","do","2022-12-01","17:15","1:45","Hoorcollege","Dobler, D.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Statistical Methods (WC)","X_401020","48","vr","2022-12-02","11:00","vr","2022-12-02","12:45","1:45","Werkcollege","","WN-C629(40/20T)","Faculteit der Betawetenschappen","56","Exercise class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","48","vr","2022-12-02","15:30","vr","2022-12-02","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","ma","2022-12-05","13:30","ma","2022-12-05","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","di","2022-12-06","09:00","di","2022-12-06","10:45","1:45","Practicum","","HG-15A16(39/19T), NU-3A65 (40/20T), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 1","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","49","di","2022-12-06","11:00","di","2022-12-06","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","di","2022-12-06","13:30","di","2022-12-06","15:15","1:45","Practicum","","HG-00B08 (42Comp)","Faculteit der Betawetenschappen","30","Group 2","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","49","di","2022-12-06","15:30","di","2022-12-06","17:15","1:45","Hoorcollege","Dobler, D.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","di","2022-12-06","17:30","di","2022-12-06","19:15","1:45","Practicum","","NU-3A57 (54/27T), NU-3A65 (40/20T)","Faculteit der Betawetenschappen","30","Group 3","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","wo","2022-12-07","09:00","wo","2022-12-07","10:45","1:45","Practicum","","OZW-6B03(40/20T), OZW-6B04(43/21T)","Faculteit der Betawetenschappen","30","Group 4","","Nee","Ja","Nee"
"Statistical Methods (PR)","X_401020","49","wo","2022-12-07","13:30","wo","2022-12-07","15:15","1:45","Practicum","","NU-5B21 (46Comp/46DT)","Faculteit der Betawetenschappen","56","Computer class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","wo","2022-12-07","15:30","wo","2022-12-07","19:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-5A91 (34Comp/34DT), NU-5B21 (46Comp/46DT), NU-6B15 (38Comp/38DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","do","2022-12-08","09:00","do","2022-12-08","10:45","1:45","Practicum","","NU-6B37 (48Comp)","Faculteit der Betawetenschappen","30","Group 5","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","49","do","2022-12-08","11:00","do","2022-12-08","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","do","2022-12-08","13:30","do","2022-12-08","15:15","1:45","Practicum","","HG-13A37 (24Comp), NU-5B51 Collaborative (20)","Faculteit der Betawetenschappen","30","Group 6","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","49","do","2022-12-08","15:30","do","2022-12-08","17:15","1:45","Hoorcollege","Dobler, D.","Theater7 NU-4C11(212/50T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Statistical Methods (WC)","X_401020","49","vr","2022-12-09","11:00","vr","2022-12-09","12:45","1:45","Werkcollege","","WN-C629(40/20T)","Faculteit der Betawetenschappen","56","Exercise class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","49","vr","2022-12-09","15:30","vr","2022-12-09","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","ma","2022-12-12","13:30","ma","2022-12-12","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","di","2022-12-13","09:00","di","2022-12-13","10:45","1:45","Practicum","","HG-15A16(39/19T), NU-3A65 (40/20T), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 1","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","50","di","2022-12-13","11:00","di","2022-12-13","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","di","2022-12-13","13:30","di","2022-12-13","15:15","1:45","Practicum","","HG-00B08 (42Comp)","Faculteit der Betawetenschappen","30","Group 2","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","50","di","2022-12-13","15:30","di","2022-12-13","17:15","1:45","Hoorcollege","Dobler, D.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","di","2022-12-13","17:30","di","2022-12-13","19:15","1:45","Practicum","","NU-3A57 (54/27T), NU-3A65 (40/20T)","Faculteit der Betawetenschappen","30","Group 3","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","wo","2022-12-14","09:00","wo","2022-12-14","10:45","1:45","Practicum","","OZW-6B03(40/20T), OZW-6B04(43/21T)","Faculteit der Betawetenschappen","30","Group 4","","Nee","Ja","Nee"
"Statistical Methods (PR)","X_401020","50","wo","2022-12-14","13:30","wo","2022-12-14","15:15","1:45","Practicum","","NU-5B21 (46Comp/46DT)","Faculteit der Betawetenschappen","56","Computer class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","wo","2022-12-14","15:30","wo","2022-12-14","19:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-5A91 (34Comp/34DT), NU-5B21 (46Comp/46DT), NU-6B15 (38Comp/38DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","do","2022-12-15","09:00","do","2022-12-15","10:45","1:45","Practicum","","NU-6B37 (48Comp)","Faculteit der Betawetenschappen","30","Group 5","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","50","do","2022-12-15","11:00","do","2022-12-15","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","do","2022-12-15","13:30","do","2022-12-15","15:15","1:45","Practicum","","HG-13A37 (24Comp), NU-5B51 Collaborative (20)","Faculteit der Betawetenschappen","30","Group 6","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","50","do","2022-12-15","15:30","do","2022-12-15","17:15","1:45","Hoorcollege","Dobler, D.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Statistical Methods (WC)","X_401020","50","vr","2022-12-16","11:00","vr","2022-12-16","12:45","1:45","Werkcollege","","WN-C629(40/20T)","Faculteit der Betawetenschappen","56","Exercise class","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","50","vr","2022-12-16","15:30","vr","2022-12-16","17:15","1:45","Practicum","","NU-6B15 (38Comp/38DT), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 9","","Nee","Ja","Nee"
"Statistical Methods (TE)","X_401020","51","di","2022-12-20","08:30","di","2022-12-20","11:15","2:45","Tentamen schriftelijk","Dobler, D.","(T) Emergo blok 01 (102), (T) Emergo blok 02 (85), (T) Emergo blok 03 (85), (T) Emergo blok 04 (102)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"History of Science for CS (HC)","XB_0076","2","ma","2023-01-09","15:30","ma","2023-01-09","17:15","1:45","Hoorcollege","Beckers, D.J.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Data Structures and Algorithms (DHT)","X_400614","2","di","2023-01-10","18:45","di","2023-01-10","21:30","2:45","Hertentamen digitaal","Massacci, F., Tuma, K.","(T) TenT blok 6 Oranje (48), (T) TenT blok 7 Geel (44), (T) TenT blok 8 Zwart (107)","Faculteit der Betawetenschappen","200","","","Nee","Ja","Nee"
"History of Science for CS (HC)","XB_0076","2","wo","2023-01-11","15:30","wo","2023-01-11","17:15","1:45","Hoorcollege","Beckers, D.J.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"History of Science for CS (WG)","XB_0076","2","vr","2023-01-13","13:30","vr","2023-01-13","14:15","0:45","Werkgroep","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","34","","","Nee","Ja","Nee"
"Academic Writing for CS (HC)","XB_0075","2","vr","2023-01-13","15:30","vr","2023-01-13","17:15","1:45","Hoorcollege","Dreschler, G.A.","","Faculteit der Betawetenschappen","350","","Online","Nee","Nee","Nee"
"History of Science for CS (HC)","XB_0076","3","ma","2023-01-16","15:30","ma","2023-01-16","17:15","1:45","Hoorcollege","Beckers, D.J.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"History of Science for CS (EXC)","XB_0076","3","wo","2023-01-18","09:00","wo","2023-01-18","12:45","3:45","Excursie","Beckers, D.J.","","Faculteit der Betawetenschappen","420","Niet verplicht","","Nee","Nee","Nee"
"History of Science for CS (HC)","XB_0076","3","wo","2023-01-18","15:30","wo","2023-01-18","17:15","1:45","Hoorcollege","Beckers, D.J.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"History of Science for CS (WG)","XB_0076","3","vr","2023-01-20","13:30","vr","2023-01-20","14:15","0:45","Werkgroep","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","34","","","Nee","Ja","Nee"
"Academic Writing for CS (HC)","XB_0075","3","vr","2023-01-20","15:30","vr","2023-01-20","17:15","1:45","Hoorcollege","Dreschler, G.A.","","Faculteit der Betawetenschappen","350","","Online","Nee","Nee","Nee"
"History of Science for CS (HC)","XB_0076","4","ma","2023-01-23","15:30","ma","2023-01-23","17:15","1:45","Hoorcollege","Beckers, D.J.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"History of Science for CS (HC)","XB_0076","4","wo","2023-01-25","15:30","wo","2023-01-25","17:15","1:45","Hoorcollege","Beckers, D.J.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"History of Science for CS (WG)","XB_0076","4","vr","2023-01-27","13:30","vr","2023-01-27","14:15","0:45","Werkgroep","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","34","","","Nee","Ja","Nee"
"Academic Writing for CS (HC)","XB_0075","4","vr","2023-01-27","15:30","vr","2023-01-27","17:15","1:45","Hoorcollege","Dreschler, G.A.","","Faculteit der Betawetenschappen","350","","Online","Nee","Nee","Nee"
