"Omschrijving","Vakcode","Startweek (ISO)","Startdag","Startdatum","Starttijd","Einddag","Einddatum","Eindtijd","Duur","Type","Docent(en)","Locatie(s)","Faculteit","Grootte","Opmerking 1","Opmerking 2","Concept","Deze activiteit vindt op locatie plaats","Deze activiteit vindt online plaats"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","13:30","di","2023-03-07","15:15","1:45","Werkcollege","","NU-6C33 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","13:30","di","2023-03-07","15:15","1:45","Werkcollege","","HG-13A37 (24Comp)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Software Design (HC)","XB_40007","10","di","2023-03-07","15:30","di","2023-03-07","17:15","1:45","Hoorcollege","Malavolta, I.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Software Design (WC)","XB_40007","10","do","2023-03-09","11:00","do","2023-03-09","12:45","1:45","Werkcollege","Malavolta, I.","MF-FG2(250/62T), Theater3 NU-2C33(185/40T)","Faculteit der Betawetenschappen","400","See Canvas for group divisions","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","10","do","2023-03-09","13:30","do","2023-03-09","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","11","ma","2023-03-13","13:30","ma","2023-03-13","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","","NU-4A67 (34/17T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","300","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","","NU-6A52 (28/14T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","","NU-2B01 (20/10T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","","NU-5A91 (34Comp/34DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","","NU-6C33 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","","HG-13A37 (24Comp)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Software Design (HC)","XB_40007","11","di","2023-03-14","15:30","di","2023-03-14","17:15","1:45","Hoorcollege","Malavolta, I.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Software Design (WC)","XB_40007","11","do","2023-03-16","11:00","do","2023-03-16","12:45","1:45","Werkcollege","Malavolta, I.","MF-FG2(250/62T), Theater3 NU-2C33(185/40T)","Faculteit der Betawetenschappen","400","See Canvas for group divisions","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","12","ma","2023-03-20","13:30","ma","2023-03-20","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","","NU-4A67 (34/17T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","300","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","","NU-6A52 (28/14T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","","NU-2B01 (20/10T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","","NU-5A91 (34Comp/34DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","","NU-6C33 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","","HG-13A37 (24Comp)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Software Design (HC)","XB_40007","12","di","2023-03-21","15:30","di","2023-03-21","17:15","1:45","Hoorcollege","Malavolta, I.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Software Design (WC)","XB_40007","12","do","2023-03-23","11:00","do","2023-03-23","12:45","1:45","Werkcollege","Malavolta, I.","MF-FG2(250/62T), Theater3 NU-2C33(185/40T)","Faculteit der Betawetenschappen","400","See Canvas for group divisions","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","12","do","2023-03-23","13:30","do","2023-03-23","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Software Design (TE)","XB_40007","13","ma","2023-03-27","08:30","ma","2023-03-27","09:30","1:00","Tentamen schriftelijk","Malavolta, I.","(T) RAI blok 07 (100), (T) RAI blok 08 (100), (T) RAI blok 09 (100), (T) RAI blok 10 (100)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Human-Computer Interaction (DT)","X_400432","13","wo","2023-03-29","12:15","wo","2023-03-29","14:30","2:15","Tentamen digitaal","","(T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 4 Lime (54)","Faculteit der Betawetenschappen","240","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","14","di","2023-04-04","11:00","di","2023-04-04","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"History of Science for CS (DHT)","XB_0076","14","di","2023-04-04","18:45","di","2023-04-04","21:00","2:15","Hertentamen digitaal","Beckers, D.J.","(T) TenT blok 1 Blauw (102), (T) TenT blok 4 Lime (54)","Faculteit der Betawetenschappen","128","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","14","wo","2023-04-05","13:30","wo","2023-04-05","15:15","1:45","Werkcollege","","WN-C629(40/20T), WN-C659(40/20T), WN-F607(40/20T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","14","do","2023-04-06","11:00","do","2023-04-06","12:45","1:45","Hoorcollege","Hulshof, J.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (HC)","X_401008","14","do","2023-04-06","17:30","do","2023-04-06","19:15","1:45","Hoorcollege","Endrullis, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","735","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","15","di","2023-04-11","09:00","di","2023-04-11","10:45","1:45","Werkcollege","Endrullis, J.","NU-3A06 (76/26T)","Faculteit der Betawetenschappen","95","AI & BA","group 1","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","15","di","2023-04-11","11:00","di","2023-04-11","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","15","wo","2023-04-12","13:30","wo","2023-04-12","15:15","1:45","Werkcollege","","WN-C629(40/20T), WN-C659(40/20T), WN-F607(40/20T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","15","do","2023-04-13","11:00","do","2023-04-13","12:45","1:45","Hoorcollege","Hulshof, J.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","15","vr","2023-04-14","09:00","vr","2023-04-14","10:45","1:45","Werkcollege","","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","15","vr","2023-04-14","11:00","vr","2023-04-14","12:45","1:45","Werkcollege","Endrullis, J.","WN-C121(86/28T)","Faculteit der Betawetenschappen","90","AI & BA","group 1","Nee","Ja","Nee"
"Databases (HC)","X_401008","15","vr","2023-04-14","13:30","vr","2023-04-14","15:15","1:45","Hoorcollege","Endrullis, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","735","Question Hour","","Nee","Ja","Nee"
"Databases (WC)","X_401008","16","di","2023-04-18","09:00","di","2023-04-18","10:45","1:45","Werkcollege","Endrullis, J.","NU-3A06 (76/26T)","Faculteit der Betawetenschappen","95","AI & BA","group 1","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","16","di","2023-04-18","11:00","di","2023-04-18","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","16","wo","2023-04-19","13:30","wo","2023-04-19","15:15","1:45","Werkcollege","","WN-C629(40/20T), WN-C659(40/20T), WN-F607(40/20T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","16","do","2023-04-20","11:00","do","2023-04-20","12:45","1:45","Hoorcollege","Hulshof, J.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Human-Computer Interaction (OV)","X_400432","16","do","2023-04-20","15:30","do","2023-04-20","16:30","1:00","Overig","Beauxis Aussalet, E.M.A.L.","(T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 3 Groen (96), (T) TenT blok 4 Lime (54), (T) TenT blok 5 Wit (45), (T) TenT blok 6 Oranje (48), (T) TenT blok 7 Geel (44), (T) TenT blok 8 Zwart (107)","Faculteit der Betawetenschappen","300","Inzage tentamen","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","16","vr","2023-04-21","09:00","vr","2023-04-21","10:45","1:45","Werkcollege","","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","16","vr","2023-04-21","11:00","vr","2023-04-21","12:45","1:45","Werkcollege","Endrullis, J.","WN-C121(86/28T)","Faculteit der Betawetenschappen","90","AI & BA","group 1","Nee","Ja","Nee"
"Databases (HC)","X_401008","16","vr","2023-04-21","13:30","vr","2023-04-21","15:15","1:45","Hoorcollege","Endrullis, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","735","Question Hour","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","17","ma","2023-04-24","13:30","ma","2023-04-24","15:15","1:45","Werkcollege","","NU-3A47 (48/23T), NU-3B07 (42/23T), NU-4A67 (34/17T), NU-5A47 (48/24T), WN-S631(40/20T), WN-S655 (40/20)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","17","di","2023-04-25","09:00","di","2023-04-25","10:45","1:45","Werkcollege","Endrullis, J.","NU-3A06 (76/26T)","Faculteit der Betawetenschappen","95","AI & BA","group 1","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","17","di","2023-04-25","11:00","di","2023-04-25","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","17","wo","2023-04-26","13:30","wo","2023-04-26","15:15","1:45","Hoorcollege","Hulshof, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","19","di","2023-05-09","09:00","di","2023-05-09","10:45","1:45","Werkcollege","Endrullis, J.","NU-3A06 (76/26T)","Faculteit der Betawetenschappen","95","AI & BA","group 1","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","19","di","2023-05-09","11:00","di","2023-05-09","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","19","wo","2023-05-10","13:30","wo","2023-05-10","15:15","1:45","Werkcollege","","WN-C629(40/20T), WN-C659(40/20T), WN-F607(40/20T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","19","do","2023-05-11","11:00","do","2023-05-11","12:45","1:45","Hoorcollege","Hulshof, J.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","19","vr","2023-05-12","09:00","vr","2023-05-12","10:45","1:45","Werkcollege","","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","19","vr","2023-05-12","11:00","vr","2023-05-12","12:45","1:45","Werkcollege","Endrullis, J.","WN-C121(86/28T)","Faculteit der Betawetenschappen","90","AI & BA","group 1","Nee","Ja","Nee"
"Databases (HC)","X_401008","19","vr","2023-05-12","13:30","vr","2023-05-12","15:15","1:45","Hoorcollege","Endrullis, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","735","Question Hour","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","20","ma","2023-05-15","13:30","ma","2023-05-15","15:15","1:45","Werkcollege","","NU-3A47 (48/23T), NU-3B07 (42/23T), NU-4A67 (34/17T), NU-5A47 (48/24T), WN-S631(40/20T), WN-S655 (40/20)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","20","di","2023-05-16","09:00","di","2023-05-16","10:45","1:45","Werkcollege","Endrullis, J.","NU-3A06 (76/26T)","Faculteit der Betawetenschappen","95","AI & BA","group 1","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","20","di","2023-05-16","11:00","di","2023-05-16","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","20","wo","2023-05-17","13:30","wo","2023-05-17","15:15","1:45","Hoorcollege","Hulshof, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","21","di","2023-05-23","09:00","di","2023-05-23","10:45","1:45","Werkcollege","Endrullis, J.","NU-3A06 (76/26T)","Faculteit der Betawetenschappen","95","AI & BA","group 1","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","21","di","2023-05-23","11:00","di","2023-05-23","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","21","wo","2023-05-24","13:30","wo","2023-05-24","15:15","1:45","Werkcollege","","WN-C629(40/20T), WN-C659(40/20T), WN-F607(40/20T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","21","do","2023-05-25","11:00","do","2023-05-25","12:45","1:45","Hoorcollege","Hulshof, J.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (DT)","X_401008","21","vr","2023-05-26","18:45","vr","2023-05-26","21:30","2:45","Tentamen digitaal","Endrullis, J.","(T) IN-2B42 2B56 (84Comp/84DT), (T) IN-2B43 2B55 (93Comp/93DT), (T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 3 Groen (96), (T) TenT blok 4 Lime (54), (T) TenT blok 5 Wit (45), (T) TenT blok 6 Oranje (48), (T) TenT blok 7 Geel (44), (T) TenT blok 8 Zwart (107)","Faculteit der Betawetenschappen","735","","","Nee","Ja","Nee"
"Linear Algebra (TE)","X_400649","22","di","2023-05-30","08:30","di","2023-05-30","11:15","2:45","Tentamen schriftelijk","Hulshof, J.","(T) Emergo blok 01 (102), (T) Emergo blok 02 (85), (T) Emergo blok 03 (85), (T) Emergo blok 04 (102)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Software Engineering Processes (HC)","XB_0089","23","di","2023-06-06","11:00","di","2023-06-06","12:45","1:45","Hoorcollege","Raibulet, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","350","","","Nee","Ja","Nee"
"Software Engineering Processes (HC)","XB_0089","24","di","2023-06-13","11:00","di","2023-06-13","12:45","1:45","Hoorcollege","Raibulet, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","350","","","Nee","Ja","Nee"
"Software Engineering Processes (HC)","XB_0089","25","di","2023-06-20","11:00","di","2023-06-20","12:45","1:45","Hoorcollege","Raibulet, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","350","","","Nee","Ja","Nee"
"Software Engineering Processes (DT)","XB_0089","26","di","2023-06-27","15:30","di","2023-06-27","17:45","2:15","Tentamen digitaal","Raibulet, C.","(T) NU-1B05 (DT124), (T) NU-3B05 3B07 3B19 (DT86), (T) NU-6B37 6B57 6C13 (124Comp/124DT)","Faculteit der Betawetenschappen","350","","","Nee","Ja","Nee"
